2010,Nema,,,Nema weighted,,,Mirex2010,,,Mirex2009,,,Triads,,Tetrads,,,TriadsInput,,,TetradsOnly,,,Root,,,Bass,,,ChromaPrecision,,,ChromaRecall,,,ChromaFmeasure,,,,,
NMSD4 ('12),82.72%,,KO1 ('11/'12),81.63%,,NMSD3 ('11),81.40,,CB2 ('11),79.28,,CB2 ('11),78.08,CB2 ('11),67.55,,CB2 ('11),80.15,,NMSD1 ('12),19.24,,NMSD3 ('11),81.42,,NMSD3 ('12),81.38,,CB3 ('11),86.21,,KO1 ('11/'12),86.13,,NMSD4 ('12),85.42,,,,,
NMSD3 ('12),82.10%,,NMSD3 ('12),81.21%,,NM1 ('11),80.35,,CB3 ('11),78.78,,CB3 ('11),77.65,CB3 ('11),67.05,,CB3 ('11),79.62,,MD1 ('10),17.66,,KO2 ('11),81.23,,NMSD4 ('12),81.36,,NMSD1 ('12),86.04,,NMSD3 ('12),86.05,,NM1 ('11),84.85,,,,,
NM1 ('11),81.99%,,NM1 ('11),81.14%,,NMSD3 ('12),80.18,,KO2 ('11),78.26,,EW4 ('10),77.13,EW4 ('10),66.79,,EW4 ('10),79.29,,NMSD4 ('12),16.58,,CB3 ('11),81.23,,NMSD1 ('11),81.03,,NMSD3 ('11),85.67,,NMSD2 ('12),85.19,,NMSD3 ('12),84.82,,,,,
CB2 ('11),81.37%,,NMSD2 ('12),80.07%,,NMSD2 ('12),79.72,,EW4 ('10),78.19,,KO2 ('11),77.10,NMSD1 ('11),66.38,,NMSD1 ('11),79.01,,NMSD3 ('12),14.46,,NMSD1 ('11),81.19,,NMSD3 ('11),81.01,,CWB1 ('10),85.60,,MM1 ('10),84.05,,CB2 ('11),84.33,,,,,
NMSD2 ('12),81.04%,,CB2 ('11),80.00%,,CB2 ('11),79.29,,NMSD1 ('11),78.15,,NMSD1 ('11),76.93,EW3 ('10),66.15,,MD1 ('10),78.98,,NMSD2 ('12),11.80,,EW4 ('10),80.99,,NMSD2 ('12),80.76,,NMSD1 ('11),85.55,,NM1 ('11),83.48,,CB3 ('11),84.07,,,,,
CB3 ('11),80.91%,,CB3 ('11),79.57%,,CB3 ('11),78.85,,CWB1 ('10),77.72,,CWB1 ('10),76.54,KO2 ('11),66.05,,KO2 ('11),78.90,,KO2 ('11),9.38,,EW3 ('10),80.39,,KO2 ('11),80.56,,CB1 ('11),85.39,,CB2 ('11),82.95,,NMSD2 ('12),83.62,,,,,
MD1 ('10),80.22%,,MD1 ('10),79.45%,,MD1 ('10),77.96,,KO1 ('10),77.65,,KO1 ('10),76.53,CWB1 ('10),65.95,,EW3 ('10),78.62,,RRHS2 ('10),2.46,,CWB1 ('10),80.28,,CB2 ('11),79.93,,EW4 ('10),85.33,,MD1 ('10),82.91,,KO2 ('11),83.62,,,,,
KO2 ('11),79.77%,,MM1 ('10),78.55%,,KO2 ('11),77.89,,MD1 ('10),77.44,,MD1 ('10),76.42,UUOS1 ('10/'11),65.93,,UUOS1 ('10/'11),78.41,,BUURO2 ('11),1.57,,CCSS1 ('12),80.08,,CB3 ('11),79.48,,KO2 ('11),85.27,,KO2 ('11),82.72,,CWB1 ('10),83.47,,,,,
MM1 ('10),79.63%,,CWB1 ('10),78.43%,,EW4 ('10),77.79,,CCSS1 ('12),77.44,,EW3 ('10),76.25,CB1 ('11),65.83,,CB1 ('11),78.30,,BUURO3 ('11),1.36,,MD1 ('10),79.69,,EW4 ('10),79.39,,NMSD4 ('12),85.20,,CB3 ('11),82.68,,NMSD1 ('11),83.47,,,,,
CB1 ('11),79.55%,,NMSD1 ('11),78.29%,,NMSD1 ('11),77.74,,EW3 ('10),77.31,,CCSS1 ('12),76.18,MD1 ('10),65.56,,CWB1 ('10),78.21,,CCSS1 ('12),0.00,,KO1 ('10),79.65,,CB1 ('11),79.27,,EW3 ('10),85.02,,NMSD1 ('11),82.13,,MD1 ('10),83.32,,,,,
CCSS1 ('12),79.40%,,KO2 ('11),78.22%,,CWB1 ('10),77.60,,UUOS1 ('10/'11),77.12,,UUOS1 ('10/'11),75.99,CCSS1 ('12),65.23,,CCSS1 ('12),77.35,,DMW1 ('12),0.00,,CB1 ('11),79.54,,EW3 ('10),79.26,,MD1 ('10),84.49,,CWB1 ('10),82.10,,EW4 ('10),83.29,,,,,
NMSD1 ('11),79.38%,,CCSS1 ('12),77.91%,,MM1 ('10),77.42,,CB1 ('11),76.93,,CB1 ('11),75.77,KO1 ('10),65.08,,KO1 ('10),77.30,,NG1 ('12),0.00,,MM1 ('10),79.54,,MM1 ('10),78.88,,NMSD3 ('12),84.47,,EW4 ('10),81.97,,CB1 ('11),83.28,,,,,
CWB1 ('10),79.37%,,CB1 ('11),77.86%,,CB1 ('11),77.29,,MM1 ('10),75.64,,MM1 ('10),74.46,PMP1 ('12),64.00,,MM1 ('10),76.81,,PMP1 ('12),0.00,,UUOS1 ('10/'11),79.34,,KO1 ('10),78.62,,UUOS1 ('10/'11),84.46,,CB1 ('11),81.92,,EW3 ('10),82.99,,,,,
KO1 ('10),78.87%,,KO1 ('10),77.61%,,CCSS1 ('12),77.14,,PMP1 ('12),74.63,,PMP1 ('12),73.68,NMSD1 ('12),63.88,,PMP1 ('12),76.19,,PMP2 ('12),0.00,,EW1 ('10),77.80,,CCSS1 ('12),78.47,,CCSS1 ('12),84.37,,EW3 ('10),81.68,,UUOS1 ('10/'11),82.40,,,,,
EW4 ('10),78.02%,,EW4 ('10),76.91%,,UUOS1 ('10/'11),77.09,,EW1 ('10),74.32,,EW1 ('10),73.29,EW1 ('10),63.82,,NMSD1 ('12),76.00,,PMP3 ('12),0.00,,MK1 ('10),77.12,,UUOS1 ('10/'11),77.88,,KO1 ('10),83.99,,UUOS1 ('10/'11),81.04,,CCSS1 ('12),82.22,,,,,
EW3 ('10),77.18%,,EW3 ('10),75.87%,,EW3 ('10),77.06,,PMP2 ('12),73.54,,PMP2 ('12),72.48,PMP2 ('12),63.15,,EW1 ('10),75.70,,BUURO1 ('11),0.00,,DMW1 ('12),76.99,,CWB1 ('10),77.68,,PMP1 ('12),83.43,,CCSS1 ('12),80.83,,KO1 ('10),81.86,,,,,
UUOS1 ('10/'11),76.89%,,UUOS1 ('10/'11),75.64%,,KO1 ('10),76.95,,MK1 ('10),73.26,,MK1 ('10),72.19,NG1 ('12),62.61,,PMP2 ('12),75.18,,BUURO4 ('11),0.00,,PMP1 ('12),76.80,,DMW1 ('12),77.07,,EW1 ('10),83.17,,KO1 ('10),80.49,,MM1 ('10),81.68,,,,,
NG1 ('12),76.03%,,OFG1 ('10),74.04%,,PMP1 ('12),74.76,,NG1 ('12),73.18,,NG1 ('12),72.13,PVM1 ('11),62.49,,NMSD4 ('12),74.83,,BUURO5 ('11),0.00,,PMP2 ('12),75.96,,MK1 ('10),76.92,,NMSD2 ('12),83.05,,PMP1 ('12),80.07,,PMP1 ('12),81.39,,,,,
OFG1 ('10),75.51%,,NG1 ('12),73.94%,,EW1 ('10),74.52,,OFG1 ('10),72.93,,PVM1 ('11),71.82,OFG1 ('10),62.47,,NG1 ('12),74.38,,CB1 ('11),0.00,,NG1 ('12),75.78,,MD1 ('10),76.83,,PMP2 ('12),82.99,,EW1 ('10),79.84,,EW1 ('10),81.14,,,,,
MK1 ('10),75.11%,,MK1 ('10),73.63%,,PMP2 ('12),73.75,,PVM1 ('11),72.75,,OFG1 ('10),71.80,PVM1 ('10),62.21,,OFG1 ('10),74.37,,CB2 ('11),0.00,,OFG1 ('10),75.76,,EW1 ('10),76.20,,PMP3 ('12),82.75,,PMP2 ('12),79.66,,PMP2 ('12),80.96,,,,,
