*Fold,Track,CCSS1,DMW1,KO1,NG1,NMSD1,NMSD2,NMSD3,NMSD4,PMP1,PMP2,PMP3
0,1258,0.6786,0.5591,0.6872,0.6993,0.7502,0.7455,0.7558,0.7591,0.6604,0.6606,0.6432
0,1260,0.3373,0.4655,0.3507,0.3598,0.3398,0.3470,0.3486,0.3610,0.3304,0.3245,0.3186
0,1261,0.7458,0.7324,0.7841,0.7424,0.7720,0.8113,0.8113,0.8107,0.7275,0.7212,0.7107
0,1263,0.5285,0.6294,0.6457,0.6771,0.7760,0.7637,0.7522,0.7645,0.6196,0.6381,0.5653
0,1265,0.7038,0.6760,0.8548,0.7424,0.8230,0.8429,0.8437,0.8500,0.7648,0.7568,0.7286
0,1266,0.6320,0.6415,0.7594,0.7190,0.7278,0.6675,0.6670,0.7513,0.7142,0.7102,0.6761
0,1267,0.1256,0.1355,0.2975,0.1003,0.4314,0.3384,0.3240,0.4003,0.1121,0.1061,0.1178
0,1268,0.2403,0.2378,0.3485,0.2791,0.4274,0.4135,0.4331,0.4517,0.2681,0.2670,0.2558
0,1270,0.9499,0.6724,0.9359,0.8405,0.9351,0.9194,0.9270,0.8943,0.9296,0.9346,0.9172
0,1271,0.7899,0.7967,0.8198,0.7611,0.8159,0.7870,0.8005,0.8103,0.8085,0.8065,0.8211
0,1272,0.8551,0.8454,0.9147,0.8609,0.9132,0.9077,0.9077,0.9053,0.8238,0.8372,0.8319
0,1273,0.5978,0.5644,0.6600,0.5993,0.6931,0.6710,0.6644,0.6350,0.6106,0.5898,0.6133
0,1274,0.5665,0.5483,0.7268,0.6158,0.7596,0.9279,0.9086,0.8959,0.7889,0.7659,0.7619
0,1276,0.2117,0.0749,0.2460,0.1269,0.4244,0.4086,0.4228,0.3640,0.2306,0.2213,0.2272
0,1277,0.8292,0.8366,0.8072,0.8333,0.8268,0.8292,0.8268,0.8190,0.8037,0.8022,0.7932
0,1279,0.6297,0.4913,0.5145,0.5042,0.6537,0.6382,0.6473,0.6400,0.4857,0.4839,0.5174
0,1280,0.7963,0.7475,0.8220,0.8410,0.7526,0.8019,0.7812,0.7796,0.7796,0.7413,0.7413
0,1281,0.7125,0.6356,0.6988,0.6196,0.6795,0.6587,0.6647,0.6601,0.6877,0.6774,0.7002
0,1282,0.7145,0.7054,0.7419,0.6257,0.7336,0.7097,0.7158,0.7311,0.7080,0.7221,0.7042
0,1283,0.4865,0.4313,0.5093,0.4133,0.6104,0.6967,0.5917,0.6315,0.5036,0.4969,0.4831
0,1285,0.8753,0.6972,0.7868,0.8386,0.8405,0.8893,0.8957,0.8379,0.8941,0.8589,0.8640
0,1286,0.5956,0.6087,0.6420,0.5317,0.6261,0.5701,0.5705,0.5559,0.5386,0.5369,0.5423
0,1287,0.7007,0.6712,0.9134,0.4997,0.8289,0.8736,0.8838,0.8631,0.6584,0.6632,0.5858
0,1289,0.8278,0.7701,0.8150,0.8399,0.7688,0.6822,0.7019,0.6789,0.7754,0.7565,0.7919
0,1290,0.8960,0.8538,0.9165,0.9550,0.9246,0.9149,0.9246,0.9274,0.8921,0.8607,0.9051
0,1292,0.8095,0.8719,0.8851,0.7827,0.8712,0.8855,0.8763,0.8867,0.7792,0.7920,0.7722
0,1296,0.6713,0.5337,0.5577,0.6068,0.7142,0.6923,0.6897,0.8348,0.6511,0.6641,0.7263
0,1297,0.8601,0.8816,0.9128,0.8916,0.9240,0.9106,0.9122,0.9234,0.8676,0.8661,0.8259
0,1300,0.8249,0.7844,0.8496,0.8273,0.7915,0.8494,0.8275,0.8578,0.8167,0.8116,0.8083
